,vacancy_name,vacancy_salary,min_salary,max_salary,currency_salary,vacancy_link,vacancy_source
52,Ведущий DevOps-инженер,,,,,https://hh.ru/vacancy/77666258?from=vacancy_search_list&query=Java,hh.ru
53,Project Manager (Custom Solutions),,,,,https://hh.ru/vacancy/77242103?from=vacancy_search_list&query=Java,hh.ru
54,Педагог (преподаватель) по программированию,от 22 000 руб.,22000.0,,руб.,https://hh.ru/vacancy/77650562?from=vacancy_search_list&query=Java,hh.ru
55,Программист портала Битрикс24 (удаленно),,,,,https://hh.ru/vacancy/77396499?from=vacancy_search_list&query=Java,hh.ru
56,"Ведущий инженер АСУ ТП Yokogawa (Centum, Prosafe, Stardom)",от 120 000 руб.,120000.0,,руб.,https://hh.ru/vacancy/55056476?from=vacancy_search_list&query=Java,hh.ru
57,Андроид разработчик / Android developer (Kotlin),до 180 000 руб.,,180000.0,руб.,https://hh.ru/vacancy/77480779?from=vacancy_search_list&query=Java,hh.ru
58,Ведущий инженер АСУ ТП,110 000 – 150 000 руб.,110000.0,150000.0,руб.,https://hh.ru/vacancy/69316211?from=vacancy_search_list&query=Java,hh.ru
59,Ведущий инженер АСУТП (ПТК DeltaV),от 120 000 руб.,120000.0,,руб.,https://hh.ru/vacancy/69316288?from=vacancy_search_list&query=Java,hh.ru
60,Педагог дополнительного образования,,,,,https://hh.ru/vacancy/77592634?from=vacancy_search_list&query=Java,hh.ru
61,QA automation (R&D),,,,,https://hh.ru/vacancy/74246182?from=vacancy_search_list&query=Java,hh.ru
62,DevOps инженер,,,,,https://hh.ru/vacancy/77296876?from=vacancy_search_list&query=Java,hh.ru
63,Product developer lead Java (Remote),от 4 000 USD,4000.0,,USD,https://hh.ru/vacancy/77244977?from=vacancy_search_list&query=Java,hh.ru
64,Team Lead SAS dev (Операционные риски),,,,,https://hh.ru/vacancy/77332810?from=vacancy_search_list&query=Java,hh.ru
65,Lead Android Developer,,,,,https://hh.ru/vacancy/77339291?from=vacancy_search_list&query=Java,hh.ru
66,Руководитель группы (Team Lead) сопровождения платформ коммуникаций Threads и JustAI,,,,,https://hh.ru/vacancy/77319294?from=vacancy_search_list&query=Java,hh.ru
67,Product developer lead Android (Remote),от 4 000 USD,4000.0,,USD,https://hh.ru/vacancy/77245037?from=vacancy_search_list&query=Java,hh.ru
68,Android - разработчик,,,,,https://hh.ru/vacancy/77418358?from=vacancy_search_list&query=Java,hh.ru
69,Программист Delphi,,,,,https://hh.ru/vacancy/74378377?from=vacancy_search_list&query=Java,hh.ru
70,ИТ-архитектор,,,,,https://hh.ru/vacancy/77155079?from=vacancy_search_list&query=Java,hh.ru
71,1С Разработчик,,,,,https://hh.ru/vacancy/76850247?from=vacancy_search_list&query=Java,hh.ru
72,Инженер DevOps,,,,,https://hh.ru/vacancy/77155085?from=vacancy_search_list&query=Java,hh.ru
73,QA-инженер (автоматизация),до 250 000 руб.,,250000.0,руб.,https://hh.ru/vacancy/77426116?from=vacancy_search_list&query=Java,hh.ru
74,Инженер АСУП (MES),,,,,https://hh.ru/vacancy/77148915?from=vacancy_search_list&query=Java,hh.ru
75,Python разработчик,,,,,https://hh.ru/vacancy/77409819?from=vacancy_search_list&query=Java,hh.ru
76,Начальник отдела тестирования (QA Lead),,,,,https://hh.ru/vacancy/74032841?from=vacancy_search_list&query=Java,hh.ru
77,Системный аналитик в Группу торговых сервисов,,,,,https://hh.ru/vacancy/66194416?from=vacancy_search_list&query=Java,hh.ru
78,Руководитель направления безопасности кода,,,,,https://hh.ru/vacancy/74273857?from=vacancy_search_list&query=Java,hh.ru
79,Инженер АСУТП / Инженер отдела Пуско-наладочных работ (ПНР),53 000 – 170 000 руб.,53000.0,170000.0,руб.,https://hh.ru/vacancy/76895405?from=vacancy_search_list&query=Java,hh.ru
80,Консультант 1С,,,,,https://hh.ru/vacancy/74378411?from=vacancy_search_list&query=Java,hh.ru
81,DevOps Specialist,,,,,https://hh.ru/vacancy/71062278?from=vacancy_search_list&query=Java,hh.ru
82,QA mobile / Инженер по тестированию (manual/auto) в Тинькофф Мобильный Банк,,,,,https://hh.ru/vacancy/76266218?from=vacancy_search_list&query=Java,hh.ru
83,Data Engineer,,,,,https://hh.ru/vacancy/76327290?from=vacancy_search_list&query=Java,hh.ru
84,Android разработчик,до 180 000 руб.,,180000.0,руб.,https://hh.ru/vacancy/77268614?from=vacancy_search_list&query=Java,hh.ru
85,JavaScript-разработчик (Процесс продаж),,,,,https://hh.ru/vacancy/77265419?from=vacancy_search_list&query=Java,hh.ru
86,Full-Stack Developer,,,,,https://hh.ru/vacancy/77229065?from=vacancy_search_list&query=Java,hh.ru
87,Руководитель группы разработки (Team Lead),,,,,https://hh.ru/vacancy/77224953?from=vacancy_search_list&query=Java,hh.ru
88,Автотестировщик / QA automation engineer,,,,,https://hh.ru/vacancy/77155111?from=vacancy_search_list&query=Java,hh.ru
89,PHP-разработчик,100 000 – 250 000 руб.,100000.0,250000.0,руб.,https://hh.ru/vacancy/77029745?from=vacancy_search_list&query=Java,hh.ru
90,Auto QA Engineer (C#) / Инженер по автоматизированному тестированию,,,,,https://hh.ru/vacancy/77019329?from=vacancy_search_list&query=Java,hh.ru
91,Full stack разработчик Creatio,,,,,https://hh.ru/vacancy/77005339?from=vacancy_search_list&query=Java,hh.ru
92,Senior QA Automation Engineer (Kotlin),от 5 000 USD,5000.0,,USD,https://hh.ru/vacancy/75775876?from=vacancy_search_list&query=Java,hh.ru
93,Enterprise Architect,,,,,https://hh.ru/vacancy/76080248?from=vacancy_search_list&query=Java,hh.ru
94,QA engineer (auto + manual),,,,,https://hh.ru/vacancy/77005657?from=vacancy_search_list&query=Java,hh.ru
95,Разработчик .Net на платформе ELMA 365 (.Net/C#),,,,,https://hh.ru/vacancy/77001964?from=vacancy_search_list&query=Java,hh.ru
96,Android разработчик (Java/Kotlin),,,,,https://hh.ru/vacancy/76922236?from=vacancy_search_list&query=Java,hh.ru
97,Инженер по нагрузочному тестированию,,,,,https://hh.ru/vacancy/76919325?from=vacancy_search_list&query=Java,hh.ru
98,ETL developer,,,,,https://hh.ru/vacancy/76536219?from=vacancy_search_list&query=Java,hh.ru
99,"Разработчик Битрикс 24 (senior, middle+)",,,,,https://hh.ru/vacancy/76967471?from=vacancy_search_list&query=Java,hh.ru
100,Fullstack-тестировщик,,,,,https://hh.ru/vacancy/76921095?from=vacancy_search_list&query=Java,hh.ru
101,Маркетолог,,,,,https://hh.ru/vacancy/76998906?from=vacancy_search_list&query=Java,hh.ru
102,Data-инженер,,,,,https://hh.ru/vacancy/76888795?from=vacancy_search_list&query=Java,hh.ru
103,Фулстек-разработчик (Full-stack developer),от 150 000 руб.,150000.0,,руб.,https://hh.ru/vacancy/76846621?from=vacancy_search_list&query=Java,hh.ru
104,Middle QA automation engineer (java),,,,,https://hh.ru/vacancy/76778756?from=vacancy_search_list&query=Java,hh.ru
105,Разработчик в тестировании/SDET (Python),,,,,https://hh.ru/vacancy/76748575?from=vacancy_search_list&query=Java,hh.ru
106,QA engineer (manual / automation),,,,,https://hh.ru/vacancy/75760151?from=vacancy_search_list&query=Java,hh.ru
107,Go-разработчик,,,,,https://hh.ru/vacancy/76749089?from=vacancy_search_list&query=Java,hh.ru
108,QA manual,,,,,https://hh.ru/vacancy/76763466?from=vacancy_search_list&query=Java,hh.ru
109,Системный аналитик,,,,,https://hh.ru/vacancy/75558913?from=vacancy_search_list&query=Java,hh.ru
110,Android developer,,,,,https://hh.ru/vacancy/76716014?from=vacancy_search_list&query=Java,hh.ru
111,Golang разработчик (Инновационная лаборатория),,,,,https://hh.ru/vacancy/71998304?from=vacancy_search_list&query=Java,hh.ru
112,Автор работ по программированию / программист,до 90 000 руб.,,90000.0,руб.,https://hh.ru/vacancy/76670173?from=vacancy_search_list&query=Java,hh.ru
113,Senior Java-разработчик,,,,,https://hh.ru/vacancy/76601234?from=vacancy_search_list&query=Java,hh.ru
114,QA automation engineer,,,,,https://hh.ru/vacancy/74370491?from=vacancy_search_list&query=Java,hh.ru
115,QA automation,,,,,https://hh.ru/vacancy/74371380?from=vacancy_search_list&query=Java,hh.ru
116,DevOps engineer,,,,,https://hh.ru/vacancy/76559496?from=vacancy_search_list&query=Java,hh.ru
117,QA инженер-сопровожденец,,,,,https://hh.ru/vacancy/74246019?from=vacancy_search_list&query=Java,hh.ru
